Class: Racer

Rank,Car_ID,Year,Make,Model,Score
1,0,2015,Chevy,Camaro,0
2,4,2007,Honda,Civic,0
3,22,2007,Honda,Civic,0
4,28,1995,Bmw,318xi,0
5,34,2010,Honda,Fit,0
6,40,2007,Subaru,Legacy,0
7,42,2001,Dodge,Viper,0
8,45,2006,Acura,TL,0
9,64,2004,Subaru,Forester,0
10,66,2010,Volkswagen,Gti,0
11,68,2013,Nissan,Altima,0
12,69,2018,Subaru,WRX,0
13,70,2014,Honda,Civic,0
14,71,2008,Acura,TL,0
15,72,2016,Honda,Civic si,0
16,74,2015,Honda,Accord,0
17,75,2012,Subaru,WRX,0
18,79,1993,Mazda,Miata,0
19,85,2017,Honda,Accord,0
20,86,1996,Volkswagen,Jetta,0
21,95,2004,Infiniti,G35,0
22,101,2014,Honda,Civic,0
23,102,2015,Honda,Accord,0
24,110,2011,Toyota,Camry,0
25,115,2001,Honda,Crv,0
26,116,2008,Audi,A4,0
27,126,2010,Volkswagen,Eos,0
28,138,1990,Mazda,Miata,0
29,141,1993,Mazda,Miata,0
30,144,2016,Volkswagen,Gti,0
31,150,2006,Nissan,350z,0
32,153,2017,Subaru,Brz,0
33,156,2014,Volkswagen,Gli,0
34,170,2014,Chevy,Cruze,0
35,174,2006,Acura,Rsx,0
36,176,2014,Mitsu,Lancer,0
37,177,2005,Volkswagen,Jetta gli,0
38,184,2010,Volkswagen,Cc,0
39,185,2013,Volkswagen,Jett,0
40,186,2012,Volkswagen,Gli,0
41,190,1995,Lexus,Sc300,0
42,193,2014,Nissan,Ssntra,0
43,197,2010,Audi,A4,0
44,200,2016,Subaru,WRX,0
45,211,2004,Acura,Tsx,0
46,212,2001,Lexus,Is300,0
47,220,2004,Audi,A4,0
48,222,2015,Lexus,Is250,0
49,225,2016,Acura,TLX,0
50,226,2008,Honda,Accord,0
51,230,2004,Acura,Tsx,0
52,237,1987,Volkswagen,Jetta,0
53,238,1982,Volkswagen,Rabbit,0
54,241,2007,Toyota,Camry,0
55,242,2014,Nissan,Maxima,0
56,243,2008,Toyota,Matrix,0
57,1,2012,Subaru,WRX,2
58,2,2016,Bmw,M2,2
59,10,2001,Nissan,S15,2
60,16,2008,Nissan,350z,2
61,23,1998,Subaru,Legacy,2
62,24,2013,Subaru,BRZ,2
63,35,2016,Honda,Civic,2
64,43,2011,Toyota,4 Runner,2
65,46,2008,Volkswagen,R32,2
66,67,2015,Subaru,Sti,2
67,78,2015,Mazda,6,2
68,88,2008,Honda,Accord,2
69,89,2014,Honda,Civic si,2
70,92,2017,Hyundai,Elantra sport,2
71,93,2005,Acura,TL,2
72,94,2004,Volkswagen,Gti,2
73,96,2017,Volkswagen,Gti,2
74,103,2010,Acura,Tsx,2
75,114,2010,Volkswagen,Gti,2
76,121,2012,Acura,TL,2
77,122,2011,Infiniti,M37s,2
78,130,2016,Honda,Civic si,2
79,159,2013,Hyundai,Gen coupe,2
80,189,2012,Toyota,Fj cruiser,2
81,235,2013,Scion,Frs,2
82,7,2014,Nissan,Sentra,4
83,11,1991,Nissan,Skyline,4
84,12,1990,Nissan,240,4
85,13,2016,Honda,Civic 1.5t,4
86,18,2015,Audi,S3,4
87,30,2012,Hyundai,Celoster,4
88,41,2012,Acura,Tsx,4
89,44,2018,Honda,Civic si,4
90,48,2015,Acura,TLX,4
